id,name,lat,lng
POM,Port Moresby Jacksons International Airport,147.2200,-9.4434
BER,Berlin Brandenburg Airport (U.C.),13.4939,52.3514
KEF,Keflavik International Airport,-22.6056,63.9850
PRN,Priština International Airport,21.0358,42.5728
,Cyll,-110.0720,53.3104
,Guodu air base,117.6320,36.0017
YEG,Edmonton International Airport,-113.5800,53.3097
YHZ,Halifax / Stanfield International Airport,-63.5086,44.8808
YOW,Ottawa Macdonald-Cartier International Airport,-75.6692,45.3225
YUL,Montreal / Pierre Elliott Trudeau International Airport,-73.7408,45.4706
YVR,Vancouver International Airport,-123.1840,49.1939
YWG,Winnipeg / James Armstrong Richardson International Airport,-97.2399,49.9100
YYC,Calgary International Airport,-114.0200,51.1139
YYJ,Victoria International Airport,-123.4260,48.6469
YYT,St. John's International Airport,-52.7519,47.6186
YYZ,Lester B. Pearson International Airport,-79.6306,43.6772
ALG,Houari Boumediene Airport,3.2154,36.6910
OUA,Ouagadougou Airport,-1.5124,12.3532
ACC,Kotoka International Airport,-0.1668,5.6052
ABV,Nnamdi Azikiwe International Airport,7.2632,9.0068
QUO,Akwa Ibom International Airport,8.0930,4.8725
KAN,Mallam Aminu International Airport,8.5246,12.0476
LOS,Murtala Muhammed International Airport,3.3212,6.5774
NIM,Diori Hamani International Airport,2.1836,13.4815
TUN,Tunis Carthage International Airport,10.2272,36.8510
BRU,Brussels Airport,4.4844,50.9014
CRL,Brussels South Charleroi Airport,4.4538,50.4592
LGG,Liège Airport,5.4432,50.6374
SXF,Berlin-Schönefeld Airport,13.5225,52.3800
DRS,Dresden Airport,13.7672,51.1328
FRA,Frankfurt am Main Airport,8.5706,50.0333
FMO,Münster Osnabrück Airport,7.6848,52.1346
HAM,Hamburg Airport,9.9882,53.6304
CGN,Cologne Bonn Airport,7.1427,50.8659
DUS,Düsseldorf Airport,6.7668,51.2895
MUC,Munich Airport,11.7861,48.3538
NUE,Nuremberg Airport,11.0781,49.4987
